"Rank","name","value"
1,lbernick,3506
2,vdemeester,3072
3,abayer,3016
4,vinamra28,2734
5,afrittoli,2297
6,yongxuanzhang,2262
7,jerop,2208
8,dibyom,1943
9,piyush-garg,1610
10,jeromeju,1435
11,wlynch,1392
12,chitrangpatel,1299
13,chuangw6,1291
14,pritidesai,1106
15,alangreene,1014
16,xinruzhang,988
17,puneetpunamiya,702
18,ywluogg,697
19,khrm,590
20,sm43,541
21,nikhil-thomas,529
22,savitaashture,467
23,quanzhang-william,425
24,priyawadhwa,392
25,bendory,388
26,austinzhao-go,373
27,pratap0007,354
28,concaf,347
29,jagathprakash,338
30,lcarva,313
31,geriom,309
32,pradeepitm12,306
33,adambkaplan,296
34,bobcatfish,292
35,imjasonh,282
36,chmouel,260
37,sbwsg,258
38,briangleeson,252
39,vsinghai,226
40,pxp928,201
41,mattmoor,154
42,alan-ghelardi,135
43,yuzp1996,124
44,chengjoey,116
45,useurmind,113
46,arhell,88
47,developer-guy,86
48,bcaton85,82
49,rupalibehera,77
50,enarha,69
51,jbpratt,68
52,sayan-biswas,68
53,marniks7,67
54,startxfr,64
55,lumjjb,63
56,avinal,60
57,basavaraju-g,54
58,tomcli,53
59,jkandasa,50
60,skaegi,50
61,zroubalik,48
62,waveywaves,48
63,aleromerog,47
64,scrapcodes,47
65,cugykw,46
66,nagasree9,42
67,jimmyjones2,40
68,waterstraal,38
69,dlbewley,38
70,emmamunley,37
71,vaikas,36
72,akhil97,36
73,my-git9,35
74,sudo-bmitch,35
75,06kellyjac,32
76,nistal97,31
77,williamlfish,30
78,alhuizenga,30
79,bradbeck,29
80,jpmaida,29
81,rgreinho,29
82,rafaeleal,27
83,gijsvandulmen,25
84,gerrnot,25
85,xchapter7x,24
86,lyndseybu,24
87,michaelsauter,23
88,jacksgt,23
89,kcloutie,23
90,billbensing,23
91,arunvel1988,22
92,prietyc123,22
93,jkomoda,22
94,cathaloconnorrh,22
95,rafalbigaj,21
96,kerthcet,20
97,saschaschwarze0,20
98,digglife,20
99,adshmh,19
100,spikeburton,18
101,mike-serchenia,18
